WELL_ID,YEAR,HEAD
699-40-40B,1992.12046543463,126.615
699-40-40B,1992.19712525667,126.591
699-40-40B,1992.30663928816,126.493
699-40-40B,1992.30663928816,126.573
699-40-40B,1992.40793976728,126.53
699-40-40B,1992.48459958932,126.533
699-40-40B,1992.49281314168,126.634
699-40-40B,1992.57221081451,126.384
699-40-40B,1992.6160164271,126.399
699-40-40B,1992.70362765229,126.393
699-40-40B,1992.80219028063,126.463
699-40-40B,1992.80492813142,126.454
699-40-40B,1992.86242299795,126.429
699-40-40B,1992.95550992471,126.536
699-40-40B,1993.03490759754,126.509
699-40-40B,1993.07049965777,126.576
699-40-40B,1993.14715947981,126.481
699-40-40B,1993.22108145106,126.487
699-40-40B,1993.26762491444,126.408
699-40-40B,1993.30595482546,126.378
699-40-40B,1993.34428473648,126.408
699-40-40B,1993.47022587269,126.512
699-40-40B,1993.51676933607,126.323
699-40-40B,1993.56878850103,126.387
699-40-40B,1993.5961670089,126.326
699-40-40B,1993.67282683094,126.256
699-40-40B,1993.75770020534,126.256
699-40-40B,1993.7659137577,126.399
699-40-40B,1993.8726899384,126.301
699-40-40B,1993.94934976044,126.411
699-40-40B,1993.97399041752,126.335
699-40-40B,1994.00684462697,126.32
699-40-40B,1994.03148528405,126.274
699-40-40B,1994.10266940452,126.381
699-40-40B,1994.21765913758,126.356
699-40-40B,1994.28336755647,126.368
699-40-40B,1994.30253251198,126.579
699-40-40B,1994.39014373717,126.664
699-40-40B,1994.46680355921,126.612
699-40-40B,1994.55441478439,126.475
699-40-40B,1994.57084188912,126.442
699-40-40B,1994.60095824778,126.451
699-40-40B,1994.6803559206,126.57
699-40-40B,1994.78439425051,126.826
699-40-40B,1994.81177275838,126.551
699-40-40B,1994.87748117728,126.609
699-40-40B,1994.94592744695,126.472
699-40-40B,1995.01163586585,126.871
699-40-40B,1995.05270362765,126.356
699-40-40B,1995.12936344969,126.408
699-40-40B,1995.18685831622,126.524
699-40-40B,1995.2772073922,126.414
699-40-40B,1995.45516769336,126.426
699-40-40B,1995.73716632444,126.384
699-40-40B,1995.90691307324,126.371
699-40-40B,1995.92881587953,126.301
699-40-40B,1996.47091033539,126.378
699-40-40B,1997.21560574949,125.972
699-40-62,1957.25667351129,122.437
699-40-62,1957.57973990418,122.607
699-40-62,1957.71937029432,122.735
699-40-62,1957.81519507187,122.784
699-40-62,1957.88637919233,122.745
699-40-62,1957.98494182067,122.845
699-40-62,1958.12183436003,122.952
699-40-62,1958.21765913758,123.031
699-40-62,1958.48049281314,123.074
699-40-62,1958.60369609856,123.174
699-40-62,1958.85831622177,123.165
699-40-62,1958.94045174538,123.235
699-40-62,1959.20876112252,123.382
699-40-62,1959.47433264887,123.439
699-40-62,1959.73169062286,123.863
699-40-62,1959.99178644764,123.647
699-40-62,1960.24914442163,123.665
699-40-62,1960.47091033539,123.833
699-40-62,1960.72826830938,123.83
699-40-62,1960.93360711841,123.824
699-40-62,1961.22381930185,124.076
699-40-62,1961.4893908282,124.061
699-40-62,1961.94934976044,124.302
699-40-62,1962.17385352498,124.339
699-40-62,1962.56810403833,124.384
699-40-62,1963.03627652293,124.521
699-40-62,1963.55920602327,124.512
699-40-62,1963.98631074606,124.512
699-40-62,1965.03764544832,124.622
699-40-62,1965.72758384668,124.811
699-40-62,1965.80150581793,124.817
699-40-62,1966.01232032854,124.838
699-40-62,1966.16563997262,124.854
699-40-62,1966.212183436,124.878
699-40-62,1966.28610540726,124.957
699-40-62,1966.83367556468,124.918
699-40-62,1967.00889801506,124.982
699-40-62,1967.23613963039,124.878
699-40-62,1967.79192334018,124.954
699-40-62,1968.21081451061,125.009
699-40-62,1969.30869267625,125.418
699-40-62,1970.37645448323,125.247
699-40-62,1971.7015742642,125.271
699-40-62,1972.18891170431,125.329
699-40-62,1972.52292950034,125.39
699-40-62,1972.76112251882,125.241
699-40-62,1973.0212183436,124.921
699-40-62,1973.28131416838,124.963
699-40-62,1973.54140999316,124.842
699-40-62,1973.62080766598,124.848
699-40-62,1973.65639972621,124.787
699-40-62,1973.70020533881,124.829
699-40-62,1973.75770020534,124.878
699-40-62,1973.79603011636,124.774
699-40-62,1974.29431895962,124.677
699-40-62,1974.53798767967,124.643
699-40-62,1974.79534565366,124.799
699-40-62,1975.01984941821,124.72
699-40-62,1975.28268309377,124.628
699-40-62,1975.51266255989,124.601
699-40-62,1975.92060232717,124.567
699-40-62,1976.45448323066,124.579
699-40-62,1976.95550992471,124.421
699-40-62,1977.93292265572,124.561
699-40-62,1978.41478439425,124.598
699-40-62,1978.9158110883,124.686
699-40-62,1979.9151266256,124.586
699-40-62,1980.41615331964,124.497
699-40-62,1980.91718001369,124.714
699-40-62,1981.41546885695,124.564
699-40-62,1981.91649555099,124.473
699-40-62,1982.41478439425,124.525
699-40-62,1982.9158110883,124.567
699-40-62,1982.95414099932,124.484
699-40-62,1983.41409993155,124.607
699-40-62,1983.45242984257,124.545
699-40-62,1983.9151266256,124.598
699-40-62,1983.95345653662,124.536
699-40-62,1984.41615331964,124.948
699-40-62,1984.42436687201,124.96
699-40-62,1984.42436687201,124.899
699-40-62,1984.44353182752,124.918
699-40-62,1984.4462696783,124.856
699-40-62,1984.45448323066,124.874
699-40-62,1984.46269678303,124.945
699-40-62,1984.46543463381,124.883
699-40-62,1984.48186173854,124.942
699-40-62,1984.48459958932,124.88
699-40-62,1984.52292950034,124.933
699-40-62,1984.52566735113,124.871
699-40-62,1984.55578370979,124.942
699-40-62,1984.56125941136,124.88
699-40-62,1984.59958932238,124.844
699-40-62,1984.63244353183,125
699-40-62,1984.6379192334,124.938
699-40-62,1984.67624914442,125.061
699-40-62,1984.681724846,124.999
699-40-62,1984.70910335387,125.015
699-40-62,1984.71457905544,124.954
699-40-62,1984.75290896646,124.951
699-40-62,1984.79671457906,124.944
699-40-62,1984.82683093771,124.871
699-40-62,1984.88432580424,124.874
699-40-62,1984.91718001369,125.095
699-40-62,1984.94455852156,124.993
699-40-62,1984.99110198494,125.033
699-40-62,1985.02669404517,124.935
699-40-62,1985.06502395619,124.984
699-40-62,1985.09787816564,124.978
699-40-62,1985.13894592745,125.106
699-40-62,1985.17727583847,125.015
699-40-62,1985.22108145106,125.03
699-40-62,1985.25393566051,125.015
699-40-62,1985.29226557153,124.999
699-40-62,1985.33607118412,124.954
699-40-62,1985.36618754278,125.03
699-40-62,1985.4045174538,125.03
699-40-62,1985.44558521561,125.033
699-40-62,1985.44832306639,125.033
699-40-62,1985.48665297741,125.024
699-40-62,1985.52224503765,124.938
699-40-62,1985.5961670089,124.944
699-40-62,1985.99863107461,125.469
699-40-62,1986.94045174538,125.274
699-40-62,1987.93429158111,125.207
699-40-62,1988.38877481177,125.271
699-40-62,1988.65160848734,125.225
699-40-62,1988.95003422313,125.268
699-40-62,1989.45379876797,125.2
699-40-62,1989.91649555099,125.075
699-40-62,1989.93292265572,125.112
699-40-62,1989.94387405886,125.075
699-40-62,1990.45585215606,125.018
699-40-62,1990.46406570842,124.923
699-40-62,1990.94318959617,124.816
699-40-62,1990.96509240246,124.88
699-40-62,1991.0006844627,124.923
699-40-62,1991.41409993155,124.774
699-40-62,1991.43052703628,124.786
699-40-62,1991.46611909651,124.774
699-40-62,1991.9151266256,124.701
699-40-62,1991.92607802875,124.701
699-40-62,1991.99452429843,124.637
699-40-62,1992.16700889801,124.637
699-40-62,1992.23271731691,124.798
699-40-62,1992.43531827515,124.53
699-40-62,1992.43805612594,124.609
699-40-62,1992.76386036961,124.381
699-40-62,1992.92539356605,124.378
699-40-62,1993.07597535934,124.448
699-40-62,1993.45106091718,124.432
699-40-62,1993.46201232033,124.39
699-40-62,1993.53867214237,124.274
699-40-62,1993.88637919233,124.274
699-40-62,1993.93292265572,124.332
699-40-62,1994.0643394935,124.408
699-40-62,1994.41752224504,124.277
